"First90","Truth","JSL"
0.345,0.298,0.284023561726625
0.333,0.346,0.279960061281759
0.322,0.222,0.27621886774841
0.311,0.276,0.272459770871408
0.289,0.263,0.264878215755964
0.289,0.273,0.264878215755964
0.278,0.303,0.261050497381134
0.255,0.27,0.25295129589811
0.244,0.23,0.249024873447039
0.233,0.264,0.245059077047849
0.233,0.264,0.245059077047849
0.222,0.21,0.241049622371301
0.222,0.256,0.241049622371301
0.222,0.269,0.241049622371301
0.211,0.316,0.236991737401418
0.211,0.226,0.236991737401418
0.2,0.285,0.232880069138654
0.145,0.2,0.211269231793415
