"Cases","Day","Day.Of.Week"
8236,0,"Monday"
8355,1,"Tuesday"
7845,2,"Wednesday"
7294,3,"Thursday"
6160,4,"Friday"
4724,5,"Saturday"
5028,6,"Sunday"
6026,7,"Monday"
8603,8,"Tuesday"
7854,9,"Wednesday"
7552,10,"Thursday"
6514,11,"Friday"
5417,12,"Saturday"
5608,13,"Sunday"
7449,14,"Monday"
7706,15,"Tuesday"
7394,16,"Wednesday"
7660,17,"Thursday"
6584,18,"Friday"
5781,19,"Saturday"
6265,20,"Sunday"
7307,21,"Monday"
8403,22,"Tuesday"
8871,23,"Wednesday"
7973,24,"Thursday"
6396,25,"Friday"
8311,26,"Saturday"
7291,27,"Sunday"
8705,28,"Monday"
9983,29,"Tuesday"
10219,30,"Wednesday"
9655,31,"Thursday"
8760,32,"Friday"
7905,33,"Saturday"
8682,34,"Sunday"
10608,35,"Monday"
11140,36,"Tuesday"
11254,37,"Wednesday"
10561,38,"Thursday"
9954,39,"Friday"
9599,40,"Saturday"
10235,41,"Sunday"
12168,42,"Monday"
12936,43,"Tuesday"
14239,44,"Wednesday"
12210,45,"Thursday"
10753,46,"Friday"
9447,47,"Saturday"
10223,48,"Sunday"
12266,49,"Monday"
12580,50,"Tuesday"
11900,51,"Wednesday"
10626,52,"Thursday"
8875,53,"Friday"
7064,54,"Saturday"
7617,55,"Sunday"
10008,56,"Monday"
9036,57,"Tuesday"
8732,58,"Wednesday"
7459,59,"Thursday"
6216,60,"Friday"
5076,61,"Saturday"
4861,62,"Sunday"
6333,63,"Monday"
5833,64,"Tuesday"
5492,65,"Wednesday"
5121,66,"Thursday"
4259,67,"Friday"
3411,68,"Saturday"
3587,69,"Sunday"
